Mã số ID,count,blank,calculate,char,character,eliminate,file,filename,list,matrix,outstr,pointer,position,print,process,redundant,remove,result,reverse,space,word,effort,grad
2113519,1.0,0.1827347184890877,0.0,0.4077155954332282,0.48331784126400335,0.1827347184890877,0.0,0.0,0.13590519847774274,0.0,0.3106824107113598,0.13590519847774274,0.0,0.0,0.1553412053556799,0.3654694369781754,0.1827347184890877,0.1553412053556799,0.0,0.4077155954332282,0.13590519847774274,0.5,7.0
2110196,1.0,0.1827347184890877,0.0,0.4077155954332282,0.48331784126400335,0.1827347184890877,0.0,0.0,0.13590519847774274,0.0,0.3106824107113598,0.13590519847774274,0.0,0.0,0.1553412053556799,0.3654694369781754,0.1827347184890877,0.1553412053556799,0.0,0.4077155954332282,0.13590519847774274,0.3333333333333333,1.0
1911660,1.0,0.1827347184890877,0.0,0.4077155954332282,0.48331784126400335,0.1827347184890877,0.0,0.0,0.13590519847774274,0.0,0.3106824107113598,0.13590519847774274,0.0,0.0,0.1553412053556799,0.3654694369781754,0.1827347184890877,0.1553412053556799,0.0,0.4077155954332282,0.13590519847774274,1.0,10.0
2052555,1.0,0.1827347184890877,0.0,0.4077155954332282,0.48331784126400335,0.1827347184890877,0.0,0.0,0.13590519847774274,0.0,0.3106824107113598,0.13590519847774274,0.0,0.0,0.1553412053556799,0.3654694369781754,0.1827347184890877,0.1553412053556799,0.0,0.4077155954332282,0.13590519847774274,1.0,10.0
2153379,1.0,0.1827347184890877,0.0,0.4077155954332282,0.48331784126400335,0.1827347184890877,0.0,0.0,0.13590519847774274,0.0,0.3106824107113598,0.13590519847774274,0.0,0.0,0.1553412053556799,0.3654694369781754,0.1827347184890877,0.1553412053556799,0.0,0.4077155954332282,0.13590519847774274,1.0,10.0
2153240,1.0,0.1827347184890877,0.0,0.4077155954332282,0.48331784126400335,0.1827347184890877,0.0,0.0,0.13590519847774274,0.0,0.3106824107113598,0.13590519847774274,0.0,0.0,0.1553412053556799,0.3654694369781754,0.1827347184890877,0.1553412053556799,0.0,0.4077155954332282,0.13590519847774274,0.5,10.0
2112462,1.0,0.1827347184890877,0.0,0.4077155954332282,0.48331784126400335,0.1827347184890877,0.0,0.0,0.13590519847774274,0.0,0.3106824107113598,0.13590519847774274,0.0,0.0,0.1553412053556799,0.3654694369781754,0.1827347184890877,0.1553412053556799,0.0,0.4077155954332282,0.13590519847774274,1.0,10.0
2152184,1.0,0.1827347184890877,0.0,0.4077155954332282,0.48331784126400335,0.1827347184890877,0.0,0.0,0.13590519847774274,0.0,0.3106824107113598,0.13590519847774274,0.0,0.0,0.1553412053556799,0.3654694369781754,0.1827347184890877,0.1553412053556799,0.0,0.4077155954332282,0.13590519847774274,1.0,10.0
2152964,1.0,0.1827347184890877,0.0,0.4077155954332282,0.48331784126400335,0.1827347184890877,0.0,0.0,0.13590519847774274,0.0,0.3106824107113598,0.13590519847774274,0.0,0.0,0.1553412053556799,0.3654694369781754,0.1827347184890877,0.1553412053556799,0.0,0.4077155954332282,0.13590519847774274,1.0,10.0
2153414,1.0,0.1827347184890877,0.0,0.4077155954332282,0.48331784126400335,0.1827347184890877,0.0,0.0,0.13590519847774274,0.0,0.3106824107113598,0.13590519847774274,0.0,0.0,0.1553412053556799,0.3654694369781754,0.1827347184890877,0.1553412053556799,0.0,0.4077155954332282,0.13590519847774274,0.5,10.0
